,Level_id,Agg_Level_1,Agg_Level_2,weight,scale
0,Level1,Total,X,1.0,30981563.05589124
1,Level2,CA,X,0.45299513179477247,6350112.2515105745
2,Level2,TX,X,0.27928146643448165,3172640.0143504534
3,Level2,WI,X,0.26772340177074583,3170156.7069486403
4,Level3,CA_1,X,0.12390133019319989,687304.577794562
5,Level3,CA_2,X,0.07937778203680014,447887.96601208457
6,Level3,CA_3,X,0.18234409328572573,810735.3640483384
7,Level3,CA_4,X,0.06737192627904225,91770.19561933535
8,Level3,TX_1,X,0.08123438078582516,347520.10196374625
9,Level3,TX_2,X,0.1011553576768638,561841.0611782477
10,Level3,TX_3,X,0.09689172797179464,288105.0249244713
11,Level3,WI_1,X,0.09078583225584873,371708.78549848945
12,Level3,WI_2,X,0.10443724623221222,428526.77416918427
13,Level3,WI_3,X,0.07250032328268737,516112.2771903323
14,Level4,FOODS,X,0.5794830883557947,15211104.114803625
15,Level4,HOBBIES,X,0.11498658266972119,295662.9350453172
16,Level4,HOUSEHOLD,X,0.3055303289744842,1784161.2658610272
17,Level5,FOODS_1,X,0.06850610328026487,200116.16238670694
18,Level5,FOODS_2,X,0.1278720691835066,422037.336858006
19,Level5,FOODS_3,X,0.38310491589202067,8973706.106495468
20,Level5,HOBBIES_1,X,0.10871675771239199,274546.4259818731
21,Level5,HOBBIES_2,X,0.0062698249573306265,2447.3882175226586
22,Level5,HOUSEHOLD_1,X,0.22627774362101427,1155596.1714501511
23,Level5,HOUSEHOLD_2,X,0.0792525853534709,80809.29380664653
24,Level6,CA,FOODS,0.25400366100125377,2940029.8950151056
25,Level6,CA,HOBBIES,0.05515048570684231,79944.43504531722
26,Level6,CA,HOUSEHOLD,0.14384098508667162,416636.336858006
27,Level6,TX,FOODS,0.1606969817180632,1700546.759063444
28,Level6,TX,HOBBIES,0.0315983306688739,28082.34516616314
29,Level6,TX,HOUSEHOLD,0.08698615404754682,177735.24244712992
30,Level6,WI,FOODS,0.16478244563647276,1823231.3262839878
31,Level6,WI,HOBBIES,0.0282377662940074,40924.422205438066
32,Level6,WI,HOUSEHOLD,0.07470318984026825,153283.3587613293
33,Level7,CA,FOODS_1,0.034167665538440486,53440.89652567976
34,Level7,CA,FOODS_2,0.04820951643726421,74551.69486404833
35,Level7,CA,FOODS_3,0.1716264790255494,1719144.2190332327
36,Level7,CA,HOBBIES_1,0.05257240723677582,75155.12009063445
37,Level7,CA,HOBBIES_2,0.002578078470066288,783.715256797583
38,Level7,CA,HOUSEHOLD_1,0.10224388286713194,246522.44335347431
39,Level7,CA,HOUSEHOLD_2,0.041597102219539536,26660.55513595166
40,Level7,TX,FOODS_1,0.017322840548354507,16780.262839879153
41,Level7,TX,FOODS_2,0.03524982209708538,57410.71450151057
42,Level7,TX,FOODS_3,0.10812431907262346,1051696.3602719032
43,Level7,TX,HOBBIES_1,0.02938159575253415,25896.785498489426
44,Level7,TX,HOBBIES_2,0.0022167349163396553,769.1865558912386
45,Level7,TX,HOUSEHOLD_1,0.06576223141726596,125967.39501510574
46,Level7,TX,HOUSEHOLD_2,0.021223922630280792,7147.622356495468
47,Level7,WI,FOODS_1,0.017015597193470164,24077.521148036252
48,Level7,WI,FOODS_2,0.04441273064915759,82978.49395770393
49,Level7,WI,FOODS_3,0.10335411779384537,984425.3791540785
50,Level7,WI,HOBBIES_1,0.02676275472308265,38038.74093655589
51,Level7,WI,HOBBIES_2,0.0014750115709246604,458.9244712990937
52,Level7,WI,HOUSEHOLD_1,0.05827162933661742,111886.32854984894
53,Level7,WI,HOUSEHOLD_2,0.01643156050365072,4662.581570996979
54,Level8,CA_1,FOODS,0.0723760321391667,371828.6986404834
55,Level8,CA_1,HOBBIES,0.016692551671370282,15269.117069486405
56,Level8,CA_1,HOUSEHOLD,0.03483274638266287,27568.67598187311
57,Level8,CA_2,FOODS,0.040435135428868625,145380.43882175226
58,Level8,CA_2,HOBBIES,0.009900054443507911,11089.017371601209
59,Level8,CA_2,HOUSEHOLD,0.029042592164423765,57221.58383685801
60,Level8,CA_3,FOODS,0.10159596084134044,405012.63897280965
61,Level8,CA_3,HOBBIES,0.018219208864365715,11905.901057401812
62,Level8,CA_3,HOUSEHOLD,0.06252892358001949,57132.81495468278
63,Level8,CA_4,FOODS,0.03959653259187875,51916.10498489426
64,Level8,CA_4,HOBBIES,0.010338670727598101,5402.114048338369
65,Level8,CA_4,HOUSEHOLD,0.01743672295956553,3693.1412386706947
66,Level8,TX_1,FOODS,0.04556029172777612,184222.67598187312
67,Level8,TX_1,HOBBIES,0.008337563746644107,4517.67749244713
68,Level8,TX_1,HOUSEHOLD,0.027336525311404954,23584.39652567976
69,Level8,TX_2,FOODS,0.05956317787884991,303680.48489425983
70,Level8,TX_2,HOBBIES,0.01138557425661113,7878.347432024169
71,Level8,TX_2,HOUSEHOLD,0.030206605541402764,32352.78172205438
72,Level8,TX_3,FOODS,0.05557351211143735,161816.14652567977
