,Level_id,Agg_Level_1,Agg_Level_2,weight,scale
0,Level1,Total,X,1.0,34569263.23632385
1,Level2,CA,X,0.4414284070483083,7211242.196389496
2,Level2,TX,X,0.2763672007780668,3359479.9628008753
3,Level2,WI,X,0.2822043921736249,3655314.399890591
4,Level3,CA_1,X,0.1107339424290715,742845.3615973742
5,Level3,CA_2,X,0.11070519119736812,541625.2664113785
6,Level3,CA_3,X,0.1559119990024583,920096.8987964989
7,Level3,CA_4,X,0.06407727441940693,99972.9146608315
8,Level3,TX_1,X,0.07693775053496155,357803.6394967177
9,Level3,TX_2,X,0.09869633613305355,586672.4124726477
10,Level3,TX_3,X,0.10073311411005349,327969.8681619256
11,Level3,WI_1,X,0.08928975925087869,489771.7921225383
12,Level3,WI_2,X,0.11034370630185085,507344.52680525166
13,Level3,WI_3,X,0.08257092662089704,503183.89824945293
14,Level4,FOODS,X,0.5714673459184084,16213235.31619256
15,Level4,HOBBIES,X,0.1346194190620499,340247.48030634574
16,Level4,HOUSEHOLD,X,0.2939132350195416,2195504.8927789936
17,Level5,FOODS_1,X,0.07158860954729056,219315.24890590808
18,Level5,FOODS_2,X,0.1649439376506666,515226.51531728666
19,Level5,FOODS_3,X,0.33493479872044846,9245098.372538293
20,Level5,HOBBIES_1,X,0.1288552550949091,306870.70951859956
21,Level5,HOBBIES_2,X,0.0057641639671426,3710.620897155361
22,Level5,HOUSEHOLD_1,X,0.22714265046420778,1434546.908643326
23,Level5,HOUSEHOLD_2,X,0.06677058455533488,93120.94146608315
24,Level6,CA,FOODS,0.24388405861616508,3177756.1509846826
25,Level6,CA,HOBBIES,0.062199246648301974,91947.29595185995
26,Level6,CA,HOUSEHOLD,0.13534510178383807,516290.30525164114
27,Level6,TX,FOODS,0.14476763536623746,1720020.5951859956
28,Level6,TX,HOBBIES,0.04492502181393259,31892.618708971553
29,Level6,TX,HOUSEHOLD,0.08667454359789852,209880.7784463895
30,Level6,WI,FOODS,0.18281565193600163,2018337.1203501094
31,Level6,WI,HOBBIES,0.027495150599818226,44332.08096280087
32,Level6,WI,HOUSEHOLD,0.07189358963780658,197855.97100656456
33,Level7,CA,FOODS_1,0.03113515979986224,59636.3829321663
34,Level7,CA,FOODS_2,0.06286826120581523,89717.18435448578
35,Level7,CA,FOODS_3,0.14988063761048712,1798098.9053610503
36,Level7,CA,HOBBIES_1,0.059819898445667326,84436.52133479212
37,Level7,CA,HOBBIES_2,0.002379348202634525,1112.0557986870897
38,Level7,CA,HOUSEHOLD_1,0.10133037019063186,314063.3555798687
39,Level7,CA,HOUSEHOLD_2,0.03401473159320614,29776.61159737418
40,Level7,TX,FOODS_1,0.01933621264744695,17898.409190371993
41,Level7,TX,FOODS_2,0.03910769898971491,58958.67778993436
42,Level7,TX,FOODS_3,0.08632372372907593,1050922.0049234135
43,Level7,TX,HOBBIES_1,0.042871479091741875,28537.926148796498
44,Level7,TX,HOBBIES_2,0.0020535427221906035,985.3599562363238
45,Level7,TX,HOUSEHOLD_1,0.06864483464329733,148519.43818380745
46,Level7,TX,HOUSEHOLD_2,0.01802970895460125,7871.155361050328
47,Level7,WI,FOODS_1,0.02111723709998155,25489.88019693654
48,Level7,WI,FOODS_2,0.06296797745513714,108776.38621444201
49,Level7,WI,FOODS_3,0.09873043738088326,1041014.7467177243
50,Level7,WI,HOBBIES_1,0.02616387755750072,40263.414113785555
51,Level7,WI,HOBBIES_2,0.0013312730423174505,591.0486870897155
52,Level7,WI,HOUSEHOLD_1,0.05716744563027888,143889.7964989059
53,Level7,WI,HOUSEHOLD_2,0.014726144007527675,5860.042122538293
54,Level8,CA_1,FOODS,0.0607476974255497,381948.5399343545
55,Level8,CA_1,HOBBIES,0.018772926543855633,15602.305251641137
56,Level8,CA_1,HOUSEHOLD,0.031213318459666222,35429.99671772429
57,Level8,CA_2,FOODS,0.06029818521997942,183603.85722100656
58,Level8,CA_2,HOBBIES,0.01273803542477885,11297.342450765864
59,Level8,CA_2,HOUSEHOLD,0.03766897055260988,65218.87308533917
60,Level8,CA_3,FOODS,0.08694406597520846,428489.92122538295
61,Level8,CA_3,HOBBIES,0.019086331305349574,14511.483588621444
62,Level8,CA_3,HOUSEHOLD,0.04988160172190013,72565.09573304157
63,Level8,CA_4,FOODS,0.035894109995427345,53560.103938730856
64,Level8,CA_4,HOBBIES,0.011601953374317773,6110.064004376368
65,Level8,CA_4,HOUSEHOLD,0.016581211049661992,4452.580415754924
66,Level8,TX_1,FOODS,0.040062536846084726,180639.08698030634
67,Level8,TX_1,HOBBIES,0.00975344987432351,5068.638949671772
68,Level8,TX_1,HOUSEHOLD,0.027121763814553355,26769.633479212254
69,Level8,TX_2,FOODS,0.052168707361862805,305054.067833698
70,Level8,TX_2,HOBBIES,0.015359563746733015,8091.333698030635
71,Level8,TX_2,HOUSEHOLD,0.031168065024457764,36515.362144420134
72,Level8,TX_3,FOODS,0.05253639115829023,173584.78829321664
73,Level8,TX_3,HOBBIES,0.019812008192875877,5181.746717724289
74,Level8,TX_3,HOUSEHOLD,0.02838471475888736,22947.874726477025
75,Level8,WI_1,FOODS,0.05458783062986617,212996.8703501094
76,Level8,WI_1,HOBBIES,0.012390479824247628,15708.359409190372
77,Level8,WI_1,HOUSEHOLD,0.022311448796764936,24472.669584245075
78,Level8,WI_2,FOODS,0.07498314227129546,348227.28774617065
79,Level8,WI_2,HOBBIES,0.007730449501558067,3930.2510940919037
80,Level8,WI_2,HOUSEHOLD,0.02763011452899712,33321.32056892779
